cgpa,backlogs,certifications,internship,aptitude,technical,communication,projects,hackathon,resume,branch,placement_readiness,company_fit,placement_score
7.13,1,3,1,4,5,5,1,1,5,ECE,1,Tier 3,33.60932944606414
9.31,2,3,1,5,7,5,4,1,4,CIVIL,1,Tier 2,41.358600583090386
8.21,2,4,1,6,8,5,3,0,7,ECE,1,Tier 2,41.62099125364431
7.79,3,5,1,6,4,6,3,0,5,ECE,1,Tier 3,35.63848396501458
6.35,2,3,1,4,5,6,4,0,6,CSE,0,Not Eligible,34.43148688046647
6.35,3,3,1,4,4,4,2,0,4,MECH,0,Not Eligible,27.288629737609327
5.77,3,2,1,3,4,5,3,0,3,ISE,0,Not Eligible,26.565597667638485
8.76,2,4,1,6,7,8,4,0,8,CSE,1,Tier 2,45.64431486880466
7.8,2,4,1,5,4,5,3,0,6,ECE,1,Tier 2,35.072886297376094
8.13,1,4,1,5,6,4,4,0,8,ECE,1,Tier 2,40.02332361516035
5.38,3,4,1,3,4,4,2,1,4,CSE,0,Not Eligible,26.75801749271137
9.5,2,6,1,7,5,6,5,1,6,AI&DS,1,Tier 2,45.626822157434404
8.6,3,4,1,6,8,5,3,1,7,ECE,1,Tier 3,42.011661807580175
6.59,2,3,1,4,5,6,2,0,6,CSE,1,Tier 3,33.10204081632653
6.46,4,3,1,5,5,7,1,0,5,CSE,0,Not Eligible,30.833819241982503
6.47,2,3,1,4,3,4,3,0,9,ECE,0,Not Eligible,30.705539358600582
6.91,2,4,1,6,5,4,3,0,5,CSE,1,Tier 3,34.39067055393586
7.57,2,4,1,4,6,5,3,0,4,MECH,1,Tier 2,35.2536443148688
7.3,2,3,1,5,5,5,2,0,4,CSE,1,Tier 3,33.32361516034985
6.87,2,5,1,3,5,7,3,0,5,CSE,1,Tier 3,35.34110787172012
7.83,2,4,1,5,5,5,3,0,7,CSE,1,Tier 2,37.02040816326531
6.27,2,4,1,2,4,4,2,1,5,MECH,0,Not Eligible,28.752186588921287
6.87,2,3,1,6,4,7,3,1,7,CSE,1,Tier 3,36.944606413994165
7.11,3,4,1,6,6,6,3,0,6,CSE,1,Tier 3,36.927113702623906
7.37,2,4,1,6,4,7,3,1,7,ECE,1,Tier 3,38.11078717201166
8.4,1,3,1,6,7,5,4,1,6,CSE,1,Tier 2,42.97376093294461
6.54,2,5,1,3,4,4,2,0,6,ISE,1,Tier 3,30.390670553935863
7.54,2,5,1,4,5,4,2,0,6,ECE,1,Tier 3,33.88921282798834
7.77,2,4,1,7,6,7,3,1,5,CSE,1,Tier 2,41.28862973760933
5.67,2,2,1,6,3,6,2,1,4,AI&DS,0,Not Eligible,30.034985422740522
