Question,Option A,Option B,Option C,Option D,Answer
What does HTML stand for?,Hyper Text Markup Language,Hyperlinks and Text Markup Language,Home Tool Markup Language,Hyper Transfer Markup Protocol,A
Which programming language is known as the 'mother of all languages'?,C,Java,Python,Assembly,A
What does CSS stand for?,Creative Style Sheets,Computer Style Sheets,Cascading Style Sheets,Colorful Style Sheets,C
Which of these is not a JavaScript framework?,React,Angular,Laravel,Vue.js,C
What does SQL stand for?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,A
Which protocol is used for secure communication over a computer network?,HTTP,FTP,HTTPS,SMTP,C
What is the time complexity of binary search?,O(1),O(n),O(log n),O(n^2),C
Which data structure uses FIFO principle?,Stack,Queue,Tree,Graph,B
What does API stand for?,Application Programming Interface,Advanced Programming Interface,Automated Programming Interface,Application Process Interface,A
Which of these is not a relational database management system?,MySQL,MongoDB,PostgreSQL,Oracle,B
What is the default port for HTTP?,80,443,8080,21,A
Which language is used for Android app development?,Swift,Kotlin,C#,Ruby,B
What does DNS stand for?,Domain Name System,Dynamic Name Server,Data Network System,Digital Naming Service,A
Which tool is used for version control?,Docker,Git,Jenkins,Kubernetes,B
What is the extension of a Python file?,.py,.js,.java,.html,A
Which of these is a NoSQL database?,MySQL,PostgreSQL,MongoDB,SQLite,C
What does VPN stand for?,Virtual Private Network,Visual Private Network,Verified Public Network,Virtual Public Network,A
Which operator is used for exponentiation in Python?,^,,//,*,B
What is the output of print(2 + 2 * 2) in Python?,6,8,4,10,A
Which OS is open-source?,Windows,MacOS,Linux,ChromeOS,C
What does IDE stand for?,Integrated Development Environment,Internal Development Environment,Interactive Development Engine,Integrated Debugging Environment,A
Which protocol is used for sending emails?,HTTP,FTP,SMTP,SSH,C
What is the complexity of a bubble sort in the worst case?,O(n),O(n log n),O(n^2),O(log n),C
Which HTML tag is used for creating a hyperlink?,<a>,<link>,<href>,<hyperlink>,A
What is the main purpose of Docker?,Version Control,Virtualization,Containerization,Data Analysis,C
Which command is used to list files in Linux?,ls,dir,list,show,A
What does RAM stand for?,Random Access Memory,Read-Only Memory,Remote Access Memory,Rapid Access Memory,A
Which data type is used for true/false values in Python?,bool,int,float,string,A
"What is the output of ""Hello"" + ""World"" in Python?",HelloWorld,Hello World,Error,None,A
Which of these is a compiled language?,Python,JavaScript,Java,PHP,C
What does URL stand for?,Uniform Resource Locator,Universal Resource Locator,Unified Resource Link,Uniform Redirect Link,A
Which CSS property is used to change text color?,font-color,text-color,color,font-style,C
What is the default port for HTTPS?,80,443,8080,21,B
Which command is used to install packages in Python?,install,pip,get,import,B
What does OOP stand for?,Object-Oriented Programming,Operational Object Programming,Organized Object Protocol,Open Object Protocol,A
Which of these is not a Python framework?,Django,Flask,Spring,Laravel,C
"What is the output of 3 == ""3"" in JavaScript?",True,False,Error,None,B
Which symbol is used for comments in Python?,//,#,/* */,<!--,B
What does SSD stand for?,Solid State Drive,Super Speed Drive,Serial Storage Device,Static Storage Device,A
Which algorithm is used for shortest path finding?,Bubble Sort,Quick Sort,Dijkstra's,Binary Search,C
