Question;Option A;Option B;Option C;Option D;answer
If a train travels 300 km in 5 hours," what is its speed?;50 km/h;60 km/h;70 km/h;80 km/h;B
Which number comes next: 2," 4"," 8"," 16 ___?;24;32;64;128;B
If all Bloops are Razzies and all Razzies are Lazzies," then all Bloops are definitely Lazzies.;True;False;Maybe;None of the above;A
A shirt costs $20 after a 20% discount. What was its original price?;$22;$24;$25;$30;C
Which word does NOT belong?;Apple;Banana;Carrot;Orange;C
If 3 workers complete a task in 10 days," how many days will 5 workers take?;4;6;8;10;B
Which shape has the most sides?;Triangle;Square;Pentagon;Hexagon;D
What is 25% of 200?;25;50;75;100;B
If today is Monday," what day will it be in 15 days?;Monday;Tuesday;Wednesday;Sunday;B
Which is the smallest prime number?;1;2;3;5;B
Solve: 12 + 8 ÷ 4 × 2;8;10;14;16;C
Which is the odd one out?;Circle;Sphere;Cube;Triangle;A
A rectangle has a length of 8 cm and width of 5 cm. What is its area?;13 cm²;26 cm²;40 cm²;80 cm²;C
If CAT is coded as 312," how is DOG coded?;415;467;496;512;B
What is the next letter: A," C"," E"," G ___?;H;I;J;K;B
A bag contains 4 red and 6 blue balls. Probability of drawing a red ball?;0.2;0.4;0.6;0.8;B
Which number is divisible by 3?;14;19;27;32;C
"Which word is a synonym for ""happy""?;Joyful;Angry;Sad;Tired;A
What is 3 squared plus 4 squared?;5;7;25;49;C
Complete the analogy: Book is to Reading as Fork is to ___.;Writing;Eating;Drawing;Sleeping;B
If 1 kg = 2.2 lbs," how many lbs are in 5 kg?;7.2;10;11;15;C
Which is NOT a Fibonacci number?;1;2;3;7;D
A clock shows 3:15. What is the angle between the hands?;0°;7.5°;15°;30°;B
What is the average of 10," 20"," and 30?;15;20;25;30;B
If all Zips are Zaps and some Zaps are Zops," then some Zips are definitely Zops.;True;False;Maybe;None of the above;C
Solve: 15 - 3 × 4 + 2;1;5;10;14;B
Which is the capital of France?;Berlin;London;Paris;Rome;C
What is 20% of 50% of 100?;5;10;20;50;B
Which is the largest fraction?;1/2;2/3;3/4;5/6;D
If A is taller than B and B is taller than C," who is shortest?;A;B;C;Can't determine;C
What is the next number: 1," 1"," 2"," 3"," 5 ___?;6;7;8;9;C
A cube has how many edges?;6;8;12;24;C
"Which word means the opposite of ""generous""?;Kind;Stingy;Happy;Brave;B
If 2x - 5 = 11," what is x?;3;6;8;10;C
Which planet is closest to the Sun?;Earth;Mars;Mercury;Venus;C
What is 7 × 8 - 9?;47;49;56;65;A
